timestamp,container_network_receive_packets_dropped.eth0,container_spec_cpu_shares,container_spec_memory_swap_limit_MB,container_fs_writes_MB./dev/vda,container_network_transmit_packets_dropped.eth0,container_network_receive_errors.eth0,container_fs_writes_merged./dev/vda1,container_threads_max,container_fs_write_seconds./dev/vda1,container_fs_inodes_free./dev/vda1,container_fs_sector_reads./dev/vda1,container_network_transmit_packets.eth0,container_cpu_usage_seconds,container_cpu_cfs_throttled_periods,container_file_descriptors,container_cpu_cfs_throttled_seconds,container_fs_reads./dev/vda,container_fs_reads./dev/vda1,container_memory_failures.container.pgfault,container_memory_failures.container.pgmajfault,container_memory_failures.hierarchy.pgfault,container_memory_failures.hierarchy.pgmajfault,container_memory_max_usage_MB,container_fs_inodes./dev/vda1,container_fs_reads_MB./dev/vda,container_last_seen,container_cpu_user_seconds,container_fs_limit_MB./dev/vda1,container_fs_io_time_weighted_seconds./dev/vda1,container_fs_sector_writes./dev/vda1,container_network_receive_packets.eth0,container_memory_working_set_MB,container_fs_io_current./dev/vda1,container_memory_usage_MB,container_fs_usage_MB./dev/vda1,container_sockets,container_fs_io_time_seconds./dev/vda1,container_memory_failcnt,container_spec_cpu_quota,container_fs_writes./dev/vda,container_fs_writes./dev/vda1,container_ulimits_soft.max_open_files,container_network_receive_MB.eth0,container_tasks_state.iowaiting,container_tasks_state.running,container_tasks_state.sleeping,container_tasks_state.stopped,container_tasks_state.uninterruptible,container_fs_read_seconds./dev/vda1,container_memory_rss,container_start_time_seconds,container_memory_mapped_file,container_spec_memory_reservation_limit_MB,container_memory_cache,container_cpu_cfs_periods,container_spec_cpu_period,container_memory_swap,container_threads,container_network_transmit_errors.eth0,container_spec_memory_limit_MB,container_fs_reads_merged./dev/vda1,container_network_transmit_MB.eth0,container_cpu_system_seconds,container_cpu_load_average_10s
1647619260,0.0,409,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,272.5,0.4737008530000253,0.0,162.5,0.0,0.0,0.0,82.5,0.0,82.5,0.0,230.15234375,0.0,0.0,1647619300,0.4150000000000773,604630.73828125,0.0,0.0,342.0,216.677734375,0,229.849609375,45.84765625,7.5,0.0,0,60000,0.0,0.0,1048576.0,0.0382289886474609,0,0,0,0,0,0.0,212219904.0,1647569293,19599360,0.0,21086208.0,181.5,100000,0,28.0,0.0,256.0,0.0,0.4807686805725097,0.0300000000000011,0
1647619320,0.0,409,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,355.5,0.5139984940000204,0.0,163.0,0.0,0.0,0.0,82.5,0.0,82.5,0.0,230.197265625,0.0,0.0,1647619360,0.4399999999999409,604630.73828125,0.0,0.0,465.5,217.232421875,0,229.998046875,45.8984375,8.0,0.0,0,60000,0.0,0.0,1048576.0,0.0500898361206054,0,0,0,0,0,0.0,212287488.0,1647569293,19599360,0.0,21086208.0,193.5,100000,0,28.0,0.0,256.0,0.0,0.9353108406066896,0.0400000000000062,0
1647619380,0.0,409,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,478.5,0.3989056030000029,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.26171875,0.0,0.0,1647619420,0.3500000000000227,604630.73828125,0.0,0.0,577.5,217.314453125,0,230.080078125,45.921875,8.0,0.0,0,60000,0.0,0.0,1048576.0,0.6230754852294922,0,0,0,0,0,0.0,212422656.0,1647569293,19599360,0.0,21086208.0,146.5,100000,0,28.5,0.0,256.0,0.0,0.9634547233581544,0.0399999999999991,0
1647619440,0.0,409,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,322.5,0.5110813075000351,0.0,163.0,0.0,0.0,0.0,16.5,0.0,16.5,0.0,230.287109375,0.0,0.0,1647619480,0.4550000000000409,604630.73828125,0.0,0.0,435.0,217.400390625,0,230.166015625,45.99609375,8.0,0.0,0,60000,0.0,0.0,1048576.0,0.0451626777648925,0,0,0,0,0,0.0,212422656.0,1647569293,19599360,0.0,21086208.0,176.5,100000,0,28.0,0.0,256.0,0.0,0.925001621246338,0.04999999999999,0
1647619500,0.0,409,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,358.5,0.4414691314999572,0.0,163.0,0.0,0.0,0.0,49.5,0.0,49.5,0.0,230.46875,0.0,0.0,1647619540,0.3699999999999477,604630.73828125,0.0,0.0,458.0,217.55078125,0,230.31640625,46.01953125,8.0,0.0,0,60000,0.0,0.0,1048576.0,0.0506401062011718,0,0,0,0,0,0.0,212422656.0,1647569293,19599360,0.0,21086208.0,186.0,100000,0,30.0,0.0,256.0,0.0,0.9298710823059082,0.0550000000000068,0
1647619560,0.0,409,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,389.0,0.550090204499952,0.0,163.0,0.0,0.0,0.0,33.0,0.0,33.0,0.0,230.53515625,0.0,0.0,1647619600,0.4850000000000136,604630.73828125,0.0,0.0,506.0,217.6484375,0,230.4140625,46.09765625,8.0,0.0,0,60000,0.0,0.0,1048576.0,0.0559101104736328,0,0,0,0,0,0.0,212557824.0,1647569293,19599360,0.0,21086208.0,208.0,100000,0,29.5,0.0,256.0,0.0,1.1526970863342283,0.0450000000000017,0
1647619620,0.0,409,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,305.5,0.4127044705000458,0.0,163.0,0.0,0.0,0.0,16.5,0.0,16.5,0.0,230.6171875,0.0,0.0,1647619660,0.3649999999999522,604630.73828125,0.0,0.0,400.5,217.69140625,0,230.45703125,46.14453125,8.0,0.0,0,60000,0.0,0.0,1048576.0,0.0432958602905273,0,0,0,0,0,0.0,212625408.0,1647569293,19599360,0.0,21086208.0,158.0,100000,0,28.0,0.0,256.0,0.0,0.7141752243041992,0.0400000000000062,0
1647619680,0.0,409,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,335.5,0.5160006140000064,0.0,163.0,0.0,0.0,0.0,82.5,0.0,82.5,0.0,230.794921875,0.0,0.0,1647619720,0.4600000000000364,604630.73828125,0.0,0.0,438.0,217.82421875,0,230.58984375,46.1953125,8.0,0.0,0,60000,0.0,0.0,1048576.0,0.0485167503356933,0,0,0,0,0,0.0,212760576.0,1647569293,19599360,0.0,21086208.0,192.0,100000,0,29.0,0.0,256.0,0.0,0.9300498962402344,0.0349999999999965,0
1647619740,0.0,409,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,360.0,0.6056690039999921,2.0,163.0,0.080618915,0.0,0.0,33.0,0.0,33.0,0.0,230.88671875,0.0,0.0,1647619780,0.5299999999999727,604630.73828125,0.0,0.0,460.5,217.908203125,0,230.673828125,46.2421875,8.0,0.0,0,60000,0.0,0.0,1048576.0,0.0495853424072265,0,0,0,0,0,0.0,212828160.0,1647569293,19599360,0.0,21086208.0,167.5,100000,0,29.5,0.0,256.0,0.0,0.930734157562256,0.0499999999999971,0
1647619800,0.0,409,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,289.0,0.4850069374999748,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.88671875,0.0,0.0,1647619840,0.410000000000025,604630.73828125,0.0,0.0,381.5,217.90234375,0,230.66796875,46.29296875,8.0,0.0,0,60000,0.0,0.0,1048576.0,0.039553165435791,0,0,0,0,0,0.0,212828160.0,1647569293,19599360,0.0,21086208.0,175.5,100000,0,29.0,0.0,256.0,0.0,0.9173293113708496,0.0450000000000017,0
1647619860,0.0,409,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,347.5,0.4505513335000159,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.8984375,0.0,0.0,1647619900,0.3950000000000386,604630.73828125,0.0,0.0,443.5,217.908203125,0,230.673828125,46.31640625,8.0,0.0,0,60000,0.0,0.0,1048576.0,0.0472512245178222,0,0,0,0,0,0.0,212828160.0,1647569293,19599360,0.0,21086208.0,176.5,100000,0,29.0,0.0,256.0,0.0,0.9276409149169922,0.0450000000000017,0
1647619920,0.0,409,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,340.5,0.5056353930000341,0.0,163.0,0.0,0.0,0.0,99.0,0.0,99.0,0.0,231.048828125,0.0,0.0,1647619960,0.4499999999999318,604630.73828125,0.0,0.0,438.0,217.96875,0,230.734375,46.3671875,8.0,0.0,0,60000,0.0,0.0,1048576.0,0.0476865768432617,0,0,0,0,0,0.0,212963328.0,1647569293,19599360,0.0,21086208.0,186.0,100000,0,28.5,0.0,256.0,0.0,0.927542209625244,0.0499999999999971,0
1647619980,0.0,409,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,363.5,0.5103307439999298,0.0,163.0,0.0,0.0,0.0,66.0,0.0,66.0,0.0,231.1875,0.0,0.0,1647620020,0.4400000000000545,604630.73828125,0.0,0.0,464.0,218.11328125,0,230.87890625,46.44140625,8.0,0.0,0,60000,0.0,0.0,1048576.0,0.0495710372924804,0,0,0,0,0,0.0,213166080.0,1647569293,19599360,0.0,21086208.0,198.5,100000,0,30.0,0.0,256.0,0.0,1.146461009979248,0.0550000000000068,0
1647620040,0.0,409,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,276.0,0.4996665175000316,0.0,163.0,0.0,0.0,0.0,16.5,0.0,16.5,0.0,231.1875,0.0,0.0,1647620080,0.4199999999999591,604630.73828125,0.0,0.0,357.5,218.22265625,0,230.98828125,46.48828125,8.0,0.0,0,60000,0.0,0.0,1048576.0,0.0390429496765136,0,0,0,0,0,0.0,213436416.0,1647569293,19599360,0.0,21086208.0,192.5,100000,0,29.0,0.0,256.0,0.0,0.7003302574157715,0.0549999999999926,0
1647620100,0.0,409,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,347.0,0.4635280275000468,0.0,163.0,0.0,0.0,0.0,33.0,0.0,33.0,0.0,231.2890625,0.0,0.0,1647620140,0.4150000000000204,604630.73828125,0.0,0.0,437.0,218.36328125,0,231.12890625,46.54296875,8.0,0.0,0,60000,0.0,0.0,1048576.0,0.0490045547485351,0,0,0,0,0,0.0,213639168.0,1647569293,19599360,0.0,21086208.0,167.0,100000,0,29.5,0.0,256.0,0.0,0.9323172569274902,0.0549999999999926,0
