timestamp,container_network_receive_packets_dropped.eth0,container_spec_cpu_shares,container_spec_memory_swap_limit_MB,container_fs_writes_MB./dev/vda,container_network_transmit_packets_dropped.eth0,container_network_receive_errors.eth0,container_fs_writes_merged./dev/vda1,container_threads_max,container_fs_write_seconds./dev/vda1,container_fs_inodes_free./dev/vda1,container_fs_sector_reads./dev/vda1,container_network_transmit_packets.eth0,container_cpu_usage_seconds,container_cpu_cfs_throttled_periods,container_file_descriptors,container_cpu_cfs_throttled_seconds,container_fs_reads./dev/vda,container_fs_reads./dev/vda1,container_memory_failures.container.pgfault,container_memory_failures.container.pgmajfault,container_memory_failures.hierarchy.pgfault,container_memory_failures.hierarchy.pgmajfault,container_memory_max_usage_MB,container_fs_inodes./dev/vda1,container_fs_reads_MB./dev/vda,container_last_seen,container_cpu_user_seconds,container_fs_limit_MB./dev/vda1,container_fs_io_time_weighted_seconds./dev/vda1,container_fs_sector_writes./dev/vda1,container_network_receive_packets.eth0,container_memory_working_set_MB,container_fs_io_current./dev/vda1,container_memory_usage_MB,container_fs_usage_MB./dev/vda1,container_sockets,container_fs_io_time_seconds./dev/vda1,container_memory_failcnt,container_spec_cpu_quota,container_fs_writes./dev/vda,container_fs_writes./dev/vda1,container_ulimits_soft.max_open_files,container_network_receive_MB.eth0,container_tasks_state.iowaiting,container_tasks_state.running,container_tasks_state.sleeping,container_tasks_state.stopped,container_tasks_state.uninterruptible,container_fs_read_seconds./dev/vda1,container_memory_rss,container_start_time_seconds,container_memory_mapped_file,container_spec_memory_reservation_limit_MB,container_memory_cache,container_cpu_cfs_periods,container_spec_cpu_period,container_memory_swap,container_threads,container_network_transmit_errors.eth0,container_spec_memory_limit_MB,container_fs_reads_merged./dev/vda1,container_network_transmit_MB.eth0,container_cpu_system_seconds,container_cpu_load_average_10s
1647619260,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,503.5,0.0894243745005951,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647619300,0.055000000000291,604630.73828125,0.0,0.0,756.0,27.41796875,0,37.48828125,25.568359375,13.0,0.0,0,20000,0.0,0.0,1048576.0,0.0756721496582031,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,37.0,100000,0,23.0,0.0,128.0,0.0,4.053216457366943,0.0199999999999818,0
1647619320,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,615.0,0.0823104305000015,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647619360,0.0349999999998544,604630.73828125,0.0,0.0,786.5,27.412109375,0,37.482421875,25.58203125,13.0,0.0,0,20000,0.0,0.0,1048576.0,0.0867223739624023,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,26.5,100000,0,23.0,0.0,128.0,0.0,4.177649021148682,0.0250000000000909,0
1647619380,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,587.0,0.1256097434998082,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647619420,0.0699999999997089,604630.73828125,0.0,0.0,807.0,27.4140625,0,37.484375,25.599609375,13.0,0.0,0,20000,0.0,0.0,1048576.0,0.0863704681396484,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,45.5,100000,0,23.0,0.0,128.0,0.0,4.150427341461182,0.0399999999999636,0
1647619440,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,580.5,0.0981472255007247,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647619480,0.055000000000291,604630.73828125,0.0,0.0,764.0,27.4140625,0,37.484375,25.615234375,13.0,0.0,0,20000,0.0,0.0,1048576.0,0.0849452018737793,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,37.0,100000,0,23.0,0.0,128.0,0.0,4.145439624786377,0.0299999999997453,0
1647619500,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,560.5,0.070835464499396,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647619540,0.0299999999997453,604630.73828125,0.0,0.0,738.0,27.4140625,0,37.484375,25.62109375,13.0,0.0,0,20000,0.0,0.0,1048576.0,0.0794286727905273,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,31.0,100000,0,23.0,0.0,128.0,0.0,4.105330467224121,0.0199999999999818,0
1647619560,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,518.5,0.0818303004998597,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647619600,0.0399999999999636,604630.73828125,0.0,0.0,697.5,27.416015625,0,37.486328125,25.638671875,12.5,0.0,0,20000,0.0,0.0,1048576.0,0.0733928680419921,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,30.5,100000,0,23.0,0.0,128.0,0.0,4.079659938812256,0.0199999999999818,0
1647619620,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,510.0,0.0835037150000062,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647619660,0.0450000000000727,604630.73828125,0.0,0.0,666.5,27.41796875,0,37.48828125,25.65234375,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.0713758468627929,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,37.5,100000,0,23.0,0.0,128.0,0.0,4.067318439483643,0.0250000000000909,0
1647619680,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,680.0,0.1278844399994341,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647619720,0.0799999999999272,604630.73828125,0.0,0.0,824.5,27.41796875,0,37.48828125,25.669921875,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.0959715843200683,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,47.5,100000,0,23.0,0.0,128.0,0.0,4.24847936630249,0.0350000000003092,0
1647619740,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,638.0,0.1140231280005537,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647619780,0.055000000000291,604630.73828125,0.0,0.0,789.0,27.41796875,0,37.48828125,25.685546875,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.0890016555786132,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,37.5,100000,0,23.0,0.0,128.0,0.0,4.170700550079346,0.0349999999998544,0
1647619800,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,604.5,0.0936963915000888,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647619840,0.0599999999999454,604630.73828125,0.0,0.0,910.0,27.41796875,0,37.48828125,25.69921875,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.0949859619140625,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,34.0,100000,0,23.0,0.0,128.0,0.0,4.165034770965576,0.0250000000000909,0
1647619860,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,582.5,0.1085512460003883,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647619900,0.0799999999999272,604630.73828125,0.0,0.0,747.0,27.41796875,0,37.48828125,25.71484375,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.0808758735656738,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,40.0,100000,0,23.0,0.0,128.0,0.0,4.136269569396973,0.0299999999997453,0
1647619920,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,514.0,0.0849223485001857,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647619960,0.0400000000004183,604630.73828125,0.0,0.0,695.0,27.41796875,0,37.48828125,25.728515625,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.0760297775268554,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,31.0,100000,0,23.0,0.0,128.0,0.0,4.099785804748535,0.0199999999999818,0
1647619980,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,646.5,0.0926221194995378,1.0,18.0,0.0162509459999569,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647620020,0.0450000000000727,604630.73828125,0.0,0.0,789.0,27.41796875,0,37.48828125,25.7421875,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.0894227027893066,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,33.5,100000,0,23.0,0.0,128.0,0.0,4.171727657318115,0.0300000000002,0
1647620040,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,606.5,0.1264436054998441,0.0,18.0,0.0050400260000174,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647620080,0.0749999999998181,604630.73828125,0.0,0.0,752.5,27.421875,0,37.4921875,25.7578125,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.0879240036010742,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,47.0,100000,0,23.0,0.0,128.0,0.0,4.183605670928955,0.0499999999997271,0
1647620100,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,642.5,0.1134417225002835,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647620140,0.0649999999995998,604630.73828125,0.0,0.0,772.5,27.421875,0,37.4921875,25.775390625,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.088416576385498,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,39.5,100000,0,23.0,0.0,128.0,0.0,4.203433036804199,0.0450000000000727,0
1647620160,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,551.5,0.0954522305000864,0.5,18.0,0.0094061835000047,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647620200,0.0450000000000727,604630.73828125,0.0,0.0,706.0,27.421875,0,37.4921875,25.79296875,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.0783190727233886,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,36.5,100000,0,23.0,0.0,128.0,0.0,4.120791435241699,0.0300000000002,0
1647620220,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,593.0,0.1021024004994615,0.5,18.0,0.0144710370000211,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647620260,0.0600000000004001,604630.73828125,0.0,0.0,765.0,27.421875,0,37.4921875,25.806640625,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.0839071273803711,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,33.5,100000,0,23.0,0.0,128.0,0.0,4.147660732269287,0.0250000000000909,0
1647620280,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,561.5,0.0710369270000228,0.0,18.0,0.0050648534999595,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647620320,0.0399999999999636,604630.73828125,0.0,0.0,772.0,27.421875,0,37.4921875,25.8203125,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.0808858871459961,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,25.5,100000,0,23.0,0.0,128.0,0.0,4.103420257568359,0.0149999999998726,0
1647620340,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,607.0,0.1214568434998,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647620380,0.0649999999995998,604630.73828125,0.0,0.0,777.5,27.421875,0,37.4921875,25.8359375,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.0858950614929199,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,41.0,100000,0,23.0,0.0,128.0,0.0,4.176933765411377,0.0349999999998544,0
1647620400,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,586.5,0.0782669425007043,0.0,18.0,0.0025500204999957,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647620440,0.0599999999999454,604630.73828125,0.0,0.0,802.0,27.421875,0,37.4921875,25.8515625,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.0863800048828125,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,35.5,100000,0,23.0,0.0,128.0,0.0,4.132452011108398,0.0150000000001,0
1647620460,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,583.5,0.0922432395000214,0.0,18.0,0.0025500204999957,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647620500,0.055000000000291,604630.73828125,0.0,0.0,764.5,27.421875,0,37.4921875,25.859375,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.3616676330566406,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,30.0,100000,0,23.0,0.0,128.0,0.0,4.1047043800354,0.0299999999999727,0
1647620520,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,642.0,0.0973428870001953,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647620560,0.0549999999998362,604630.73828125,0.0,0.0,830.5,27.421875,0,37.4921875,25.876953125,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.3697161674499511,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,37.0,100000,0,23.0,0.0,128.0,0.0,4.145936012268066,0.0250000000000909,0
1647620580,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,618.5,0.0966051754994623,0.0,18.0,0.0050482795000448,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647620620,0.0349999999998544,604630.73828125,0.0,0.0,822.5,27.421875,0,37.4921875,25.8828125,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.0899138450622558,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,37.5,100000,0,23.0,0.0,128.0,0.0,4.173254489898682,0.0249999999998635,0
1647620640,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,495.0,0.0827900840004076,0.0,18.0,0.0050482794999879,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647620680,0.0500000000001819,604630.73828125,0.0,0.0,661.0,27.421875,0,37.4921875,25.8984375,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.0698208808898925,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,32.0,100000,0,23.0,0.0,128.0,0.0,4.053689479827881,0.0249999999998635,0
1647620700,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,626.0,0.0985782384996127,0.5,18.0,0.0089523885000062,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647620740,0.0399999999999636,604630.73828125,0.0,0.0,795.5,27.421875,0,37.4921875,25.919921875,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.0899453163146972,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,41.5,100000,0,23.0,0.0,128.0,0.0,4.185234069824219,0.0300000000002,0
1647620760,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,504.0,0.0920686460003707,0.5,18.0,0.0089523885000062,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647620800,0.0450000000000727,604630.73828125,0.0,0.0,713.0,27.421875,0,37.4921875,25.93359375,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.0720715522766113,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,35.5,100000,0,23.0,0.0,128.0,0.0,4.06077766418457,0.0350000000000818,0
1647620820,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,654.5,0.1037070145002871,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647620860,0.055000000000291,604630.73828125,0.0,0.0,887.5,27.421875,0,37.4921875,25.94140625,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.0990233421325683,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,31.0,100000,0,23.0,0.0,128.0,0.0,4.215026378631592,0.0249999999998635,0
1647620880,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,571.0,0.0996933299993543,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647620920,0.0549999999993815,604630.73828125,0.0,0.0,739.0,27.421875,0,37.4921875,25.96484375,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.0799202919006347,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,41.0,100000,0,23.0,0.0,128.0,0.0,4.12868070602417,0.0300000000002,0
1647620940,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,597.0,0.0916992909997134,0.0,18.0,0.0050166159999776,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647620980,0.0600000000004001,604630.73828125,0.0,0.0,776.5,27.421875,0,37.4921875,25.978515625,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.086000919342041,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,35.5,100000,0,23.0,0.0,128.0,0.0,4.151012420654297,0.0299999999997453,0
1647621000,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,505.5,0.1105967160001455,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0078125,0.0,0.0,1647621040,0.0399999999999636,604630.73828125,0.0,0.0,686.5,27.421875,0,37.4921875,25.9921875,12.0,0.0,0,20000,0.0,0.0,1048576.0,0.071901798248291,0,0,0,0,0,0.0,17387520.0,1647144340,7704576,0.0,14008320.0,43.0,100000,0,23.0,0.0,128.0,0.0,4.079482078552246,0.0350000000000818,0
