timestamp,container_network_receive_packets_dropped.eth0,container_spec_cpu_shares,container_spec_memory_swap_limit_MB,container_fs_writes_MB./dev/vda,container_network_transmit_packets_dropped.eth0,container_network_receive_errors.eth0,container_fs_writes_merged./dev/vda1,container_threads_max,container_fs_write_seconds./dev/vda1,container_fs_inodes_free./dev/vda1,container_fs_sector_reads./dev/vda1,container_network_transmit_packets.eth0,container_cpu_usage_seconds,container_cpu_cfs_throttled_periods,container_file_descriptors,container_cpu_cfs_throttled_seconds,container_fs_reads./dev/vda,container_fs_reads./dev/vda1,container_memory_failures.container.pgfault,container_memory_failures.container.pgmajfault,container_memory_failures.hierarchy.pgfault,container_memory_failures.hierarchy.pgmajfault,container_memory_max_usage_MB,container_fs_inodes./dev/vda1,container_fs_reads_MB./dev/vda,container_last_seen,container_cpu_user_seconds,container_fs_limit_MB./dev/vda1,container_fs_io_time_weighted_seconds./dev/vda1,container_fs_sector_writes./dev/vda1,container_network_receive_packets.eth0,container_memory_working_set_MB,container_fs_io_current./dev/vda1,container_memory_usage_MB,container_fs_usage_MB./dev/vda1,container_sockets,container_fs_io_time_seconds./dev/vda1,container_memory_failcnt,container_spec_cpu_quota,container_fs_writes./dev/vda,container_fs_writes./dev/vda1,container_ulimits_soft.max_open_files,container_network_receive_MB.eth0,container_tasks_state.iowaiting,container_tasks_state.running,container_tasks_state.sleeping,container_tasks_state.stopped,container_tasks_state.uninterruptible,container_fs_read_seconds./dev/vda1,container_memory_rss,container_start_time_seconds,container_memory_mapped_file,container_spec_memory_reservation_limit_MB,container_memory_cache,container_cpu_cfs_periods,container_spec_cpu_period,container_memory_swap,container_threads,container_network_transmit_errors.eth0,container_spec_memory_limit_MB,container_fs_reads_merged./dev/vda1,container_network_transmit_MB.eth0,container_cpu_system_seconds,container_cpu_load_average_10s
1647619260,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,173.0,7.878950003714635e-05,0.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.00390625,0.0,0.0,1647619300,0.0,604630.73828125,0.0,0.0,282.5,49.15234375,0,57.36328125,644.26953125,2.5,0.0,1,40000,0.0,0.0,1048576.0,0.0227217674255371,0,0,0,0,0,0.0,34287616.0,1647144341,1081344,0.0,14483456.0,0.0,100000,0,17.0,0.0,256.0,0.0,0.1928801536560058,0.0,0
1647619320,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,170.0,0.0037054854999496,0.0,21.0,0.0,0.0,0.0,33.0,0.0,33.0,0.0,256.00390625,0.0,0.0,1647619360,0.0,604630.73828125,0.0,0.0,279.5,49.08984375,0,57.30078125,644.26953125,3.0,0.0,1,40000,0.0,0.0,1048576.0,0.0226974487304687,0,0,0,0,0,0.0,34287616.0,1647144341,1081344,0.0,14483456.0,6.0,100000,0,17.0,0.0,256.0,0.0,0.1960620880126953,0.0,0
1647619380,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,166.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.00390625,0.0,0.0,1647619420,0.0,604630.73828125,0.0,0.0,268.5,49.087890625,0,57.298828125,644.26953125,3.0,0.0,1,40000,0.0,0.0,1048576.0,0.0219101905822753,0,0,0,0,0,0.0,34287616.0,1647144341,1081344,0.0,14483456.0,0.0,100000,0,17.0,0.0,256.0,0.0,0.1934041976928711,0.0,0
1647619440,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,164.0,0.0031830000000354,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.00390625,0.0,0.0,1647619480,0.0050000000000025,604630.73828125,0.0,0.0,267.5,49.0859375,0,57.296875,644.271484375,3.0,0.0,1,40000,0.0,0.0,1048576.0,0.0216841697692871,0,0,0,0,0,0.0,34287616.0,1647144341,1081344,0.0,14483456.0,5.0,100000,0,17.0,0.0,256.0,0.0,0.1937232017517089,0.0,0
1647619500,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,169.5,0.0017331294999962,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.00390625,0.0,0.0,1647619540,0.004999999999999,604630.73828125,0.0,0.0,268.0,49.0859375,0,57.296875,644.2734375,3.0,0.0,1,40000,0.0,0.0,1048576.0,0.023111343383789,0,0,0,0,0,0.0,34287616.0,1647144341,1081344,0.0,14483456.0,3.0,100000,0,17.0,0.0,256.0,0.0,0.195131778717041,0.0,0
1647619560,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,152.0,0.0017452400000479,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.00390625,0.0,0.0,1647619600,0.0,604630.73828125,0.0,0.0,250.5,49.0859375,0,57.296875,644.275390625,3.0,0.0,1,40000,0.0,0.0,1048576.0,0.0217175483703613,0,0,0,0,0,0.0,34287616.0,1647144341,1081344,0.0,14483456.0,3.0,100000,0,17.0,0.0,256.0,0.0,0.1933984756469726,0.0,0
1647619620,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,195.5,0.0023327994999817,0.0,21.0,0.0,0.0,0.0,33.0,0.0,33.0,0.0,256.00390625,0.0,0.0,1647619660,0.0,604630.73828125,0.0,0.0,305.5,49.0859375,0,57.296875,644.27734375,3.0,0.0,1,40000,0.0,0.0,1048576.0,0.026440143585205,0,0,0,0,0,0.0,34287616.0,1647144341,1081344,0.0,14483456.0,4.0,100000,0,17.0,0.0,256.0,0.0,0.2066297531127929,0.0,0
1647619680,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,168.0,0.0005490219999728,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.00390625,0.0,0.0,1647619720,0.0,604630.73828125,0.0,0.0,280.0,49.0859375,0,57.296875,644.27734375,3.0,0.0,1,40000,0.0,0.0,1048576.0,0.0224947929382324,0,0,0,0,0,0.0,34287616.0,1647144341,1081344,0.0,14483456.0,1.0,100000,0,17.0,0.0,256.0,0.0,0.193608283996582,0.0,0
1647619740,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,156.5,0.0030256315000087,0.0,21.0,0.0,0.0,0.0,66.0,0.0,66.0,0.0,256.00390625,0.0,0.0,1647619780,0.009999999999998,604630.73828125,0.0,0.0,251.5,49.08984375,0,57.30078125,644.27734375,3.0,0.0,1,40000,0.0,0.0,1048576.0,0.0205717086791992,0,0,0,0,0,0.0,34287616.0,1647144341,1081344,0.0,14483456.0,3.0,100000,0,17.0,0.0,256.0,0.0,0.1929569244384765,0.0,0
1647619800,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,169.5,0.0017351175000044,0.0,21.0,0.0,0.0,0.0,33.0,0.0,33.0,0.0,256.00390625,0.0,0.0,1647619840,0.0,604630.73828125,0.0,0.0,274.5,49.08984375,0,57.30078125,644.27734375,3.0,0.0,1,40000,0.0,0.0,1048576.0,0.0226516723632812,0,0,0,0,0,0.0,34287616.0,1647144341,1081344,0.0,14483456.0,3.0,100000,0,17.0,0.0,256.0,0.0,0.1936964988708496,0.0100000000000193,0
