timestamp,container_network_receive_packets_dropped.eth0,container_spec_cpu_shares,container_spec_memory_swap_limit_MB,container_fs_writes_MB./dev/vda,container_network_transmit_packets_dropped.eth0,container_network_receive_errors.eth0,container_fs_writes_merged./dev/vda1,container_threads_max,container_fs_write_seconds./dev/vda1,container_fs_inodes_free./dev/vda1,container_fs_sector_reads./dev/vda1,container_network_transmit_packets.eth0,container_cpu_usage_seconds,container_cpu_cfs_throttled_periods,container_file_descriptors,container_cpu_cfs_throttled_seconds,container_fs_reads./dev/vda,container_fs_reads./dev/vda1,container_memory_failures.container.pgfault,container_memory_failures.container.pgmajfault,container_memory_failures.hierarchy.pgfault,container_memory_failures.hierarchy.pgmajfault,container_memory_max_usage_MB,container_fs_inodes./dev/vda1,container_fs_reads_MB./dev/vda,container_last_seen,container_cpu_user_seconds,container_fs_limit_MB./dev/vda1,container_fs_io_time_weighted_seconds./dev/vda1,container_fs_sector_writes./dev/vda1,container_network_receive_packets.eth0,container_memory_working_set_MB,container_fs_io_current./dev/vda1,container_memory_usage_MB,container_fs_usage_MB./dev/vda1,container_sockets,container_fs_io_time_seconds./dev/vda1,container_memory_failcnt,container_spec_cpu_quota,container_fs_writes./dev/vda,container_fs_writes./dev/vda1,container_ulimits_soft.max_open_files,container_network_receive_MB.eth0,container_tasks_state.iowaiting,container_tasks_state.running,container_tasks_state.sleeping,container_tasks_state.stopped,container_tasks_state.uninterruptible,container_fs_read_seconds./dev/vda1,container_memory_rss,container_start_time_seconds,container_memory_mapped_file,container_spec_memory_reservation_limit_MB,container_memory_cache,container_cpu_cfs_periods,container_spec_cpu_period,container_memory_swap,container_threads,container_network_transmit_errors.eth0,container_spec_memory_limit_MB,container_fs_reads_merged./dev/vda1,container_network_transmit_MB.eth0,container_cpu_system_seconds,container_cpu_load_average_10s
1647619260,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,3707.5,0.4643416115004584,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.00390625,0.0,0.0,1647619300,0.1899999999995998,604630.73828125,0.0,0.0,3751.0,29.8515625,0,41.640625,25.1015625,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.6085681915283203,0,0,0,0,0,0.0,12595200.0,1647144347,1892352,0.0,18583552.0,201.0,100000,0,33.0,0.0,256.0,0.0,2.0381178855896,0.1750000000001819,0
1647619320,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2253.5,0.4029802619998008,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.00390625,0.0,0.0,1647619360,0.1649999999999636,604630.73828125,0.0,0.0,2341.5,29.80078125,0,41.58984375,25.1015625,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.3707337379455566,0,0,0,0,0,0.0,12595200.0,1647144347,1892352,0.0,18583552.0,194.0,100000,0,33.0,0.0,256.0,0.0,1.748927116394043,0.1599999999998544,0
1647619380,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,3249.5,0.4513767200005532,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.00390625,0.0,0.0,1647619420,0.2250000000003638,604630.73828125,0.0,0.0,3284.0,29.8828125,0,41.671875,25.1015625,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.5301036834716797,0,0,0,0,0,0.0,12595200.0,1647144347,1892352,0.0,18583552.0,207.0,100000,0,33.0,0.0,256.0,0.0,1.9500365257263184,0.1850000000004001,0
1647619440,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2930.0,0.3689380629994048,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.00390625,0.0,0.0,1647619480,0.1599999999998544,604630.73828125,0.0,0.0,2991.5,29.82421875,0,41.61328125,25.1015625,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.4787230491638183,0,0,0,0,0,0.0,12595200.0,1647144347,1892352,0.0,18583552.0,183.5,100000,0,33.0,0.0,256.0,0.0,1.893291473388672,0.1499999999996362,0
1647619500,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2758.0,0.4416297755005871,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.00390625,0.0,0.0,1647619540,0.1700000000000727,604630.73828125,0.0,0.0,2809.5,29.828125,0,41.6171875,25.1015625,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.4518299102783203,0,0,0,0,0,0.0,12595200.0,1647144347,1892352,0.0,18583552.0,204.0,100000,0,33.0,0.0,256.0,0.0,1.848978042602539,0.1750000000001819,0
1647619560,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,3347.0,0.4206544945000132,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.00390625,0.0,0.0,1647619600,0.1900000000000545,604630.73828125,0.0,0.0,3414.5,29.83984375,0,41.62890625,25.1015625,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.5499811172485352,0,0,0,0,0,0.0,12595200.0,1647144347,1892352,0.0,18583552.0,195.5,100000,0,33.0,0.0,256.0,0.0,1.9793453216552732,0.1900000000000545,0
1647619620,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2969.0,0.3724228990004121,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.00390625,0.0,0.0,1647619660,0.1449999999999818,604630.73828125,0.0,0.0,3016.5,29.845703125,0,41.634765625,25.1015625,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.4865345954895019,0,0,0,0,0,0.0,12595200.0,1647144347,1892352,0.0,18583552.0,166.5,100000,0,33.0,0.0,256.0,0.0,1.8935327529907229,0.1500000000000909,0
1647619680,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,3078.0,0.4005959609985439,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.00390625,0.0,0.0,1647619720,0.180000000000291,604630.73828125,0.0,0.0,3154.0,29.84765625,0,41.63671875,25.1015625,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.5036053657531738,0,0,0,0,0,0.0,12595200.0,1647144347,1892352,0.0,18583552.0,181.5,100000,0,33.0,0.0,256.0,0.0,1.9175939559936523,0.1700000000000727,0
1647619740,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2989.5,0.4064261960011208,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.00390625,0.0,0.0,1647619780,0.1599999999998544,604630.73828125,0.0,0.0,3070.0,29.84765625,0,41.63671875,25.1015625,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.4930863380432129,0,0,0,0,0,0.0,12595200.0,1647144347,1892352,0.0,18583552.0,168.0,100000,0,33.0,0.0,256.0,0.0,1.898082256317139,0.1649999999999636,0
1647619800,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2637.5,0.4195508164993953,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.00390625,0.0,0.0,1647619840,0.1799999999998363,604630.73828125,0.0,0.0,2703.5,29.84765625,0,41.63671875,25.1015625,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.4307270050048828,0,0,0,0,0,0.0,12595200.0,1647144347,1892352,0.0,18583552.0,182.5,100000,0,33.0,0.0,256.0,0.0,1.8278517723083496,0.1700000000000727,0
