timestamp,container_network_receive_packets_dropped.eth0,container_spec_cpu_shares,container_spec_memory_swap_limit_MB,container_fs_writes_MB./dev/vda,container_network_transmit_packets_dropped.eth0,container_network_receive_errors.eth0,container_fs_writes_merged./dev/vda1,container_threads_max,container_fs_write_seconds./dev/vda1,container_fs_inodes_free./dev/vda1,container_fs_sector_reads./dev/vda1,container_network_transmit_packets.eth0,container_cpu_usage_seconds,container_cpu_cfs_throttled_periods,container_file_descriptors,container_cpu_cfs_throttled_seconds,container_fs_reads./dev/vda,container_fs_reads./dev/vda1,container_memory_failures.container.pgfault,container_memory_failures.container.pgmajfault,container_memory_failures.hierarchy.pgfault,container_memory_failures.hierarchy.pgmajfault,container_memory_max_usage_MB,container_fs_inodes./dev/vda1,container_fs_reads_MB./dev/vda,container_last_seen,container_cpu_user_seconds,container_fs_limit_MB./dev/vda1,container_fs_io_time_weighted_seconds./dev/vda1,container_fs_sector_writes./dev/vda1,container_network_receive_packets.eth0,container_memory_working_set_MB,container_fs_io_current./dev/vda1,container_memory_usage_MB,container_fs_usage_MB./dev/vda1,container_sockets,container_fs_io_time_seconds./dev/vda1,container_memory_failcnt,container_spec_cpu_quota,container_fs_writes./dev/vda,container_fs_writes./dev/vda1,container_ulimits_soft.max_open_files,container_network_receive_MB.eth0,container_tasks_state.iowaiting,container_tasks_state.running,container_tasks_state.sleeping,container_tasks_state.stopped,container_tasks_state.uninterruptible,container_fs_read_seconds./dev/vda1,container_memory_rss,container_start_time_seconds,container_memory_mapped_file,container_spec_memory_reservation_limit_MB,container_memory_cache,container_cpu_cfs_periods,container_spec_cpu_period,container_memory_swap,container_threads,container_network_transmit_errors.eth0,container_spec_memory_limit_MB,container_fs_reads_merged./dev/vda1,container_network_transmit_MB.eth0,container_cpu_system_seconds,container_cpu_load_average_10s
1647619260,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1028.0,0.1269842600004267,0.0,9.0,0.0,0.0,0.0,16.5,0.0,16.5,0.0,128.00390625,0.0,0.0,1647619300,0.0599999999999454,604630.73828125,0.0,0.0,1100.0,28.640625,0,40.79296875,25.1171875,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.1599774360656738,0,0,0,0,0,0.0,14376960.0,1647144342,4866048,0.0,18247680.0,36.5,100000,0,31.0,0.0,128.0,0.0,1.1897683143615725,0.0499999999992724,0
1647619320,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1014.5,0.0966935315000228,0.0,9.0,0.0,0.0,0.0,49.5,0.0,49.5,0.0,128.00390625,0.0,0.0,1647619360,0.0399999999999636,604630.73828125,0.0,0.0,1091.0,28.595703125,0,40.677734375,25.1171875,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.1588091850280761,0,0,0,0,0,0.0,14376960.0,1647144342,4866048,0.0,18247680.0,28.5,100000,0,31.0,0.0,128.0,0.0,0.9391002655029296,0.0400000000004183,0
1647619380,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1372.0,0.1911481884999375,0.0,9.0,0.0,0.0,0.0,33.0,0.0,33.0,0.0,128.00390625,0.0,0.0,1647619420,0.0749999999998181,604630.73828125,0.0,0.0,1429.5,28.751953125,0,40.705078125,25.1171875,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.2139787673950195,0,0,0,0,0,0.0,14376960.0,1647144342,4866048,0.0,18247680.0,53.5,100000,0,31.0,0.0,128.0,0.0,1.2569332122802734,0.0549999999998362,0
1647619440,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1078.5,0.1019894350001777,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.00390625,0.0,0.0,1647619480,0.0500000000001819,604630.73828125,0.0,0.0,1186.5,28.75390625,0,40.70703125,25.1171875,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.1694188117980957,0,0,0,0,0,0.0,14376960.0,1647144342,4866048,0.0,18247680.0,32.5,100000,0,31.0,0.0,128.0,0.0,1.466994285583496,0.0399999999999636,0
1647619500,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1060.5,0.1140703134997238,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.00390625,0.0,0.0,1647619540,0.0400000000004183,604630.73828125,0.0,0.0,1124.5,28.75390625,0,40.70703125,25.1171875,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.1649765968322754,0,0,0,0,0,0.0,14376960.0,1647144342,4866048,0.0,18247680.0,34.0,100000,0,31.0,0.0,128.0,0.0,1.197725772857666,0.0450000000000727,0
1647619560,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,885.0,0.0847143854998648,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.00390625,0.0,0.0,1647619600,0.0299999999997453,604630.73828125,0.0,0.0,965.0,28.75390625,0,40.70703125,25.1171875,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.1371979713439941,0,0,0,0,0,0.0,14376960.0,1647144342,4866048,0.0,18247680.0,22.5,100000,0,31.0,0.0,128.0,0.0,1.17142915725708,0.0399999999999636,0
1647619620,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1057.5,0.1246549204997791,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.00390625,0.0,0.0,1647619660,0.0399999999999636,604630.73828125,0.0,0.0,1134.0,28.7578125,0,40.7109375,25.1171875,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.165565013885498,0,0,0,0,0,0.0,14376960.0,1647144342,4866048,0.0,18247680.0,30.5,100000,0,31.0,0.0,128.0,0.0,1.20831298828125,0.055000000000291,0
1647619680,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1334.0,0.1384788725008547,1.0,9.0,0.0238171440000769,0.0,0.0,0.0,0.0,0.0,0.0,128.00390625,0.0,0.0,1647619720,0.0599999999999454,604630.73828125,0.0,0.0,1367.0,28.76171875,0,40.71484375,25.1171875,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.2085185050964355,0,0,0,0,0,0.0,14376960.0,1647144342,4866048,0.0,18247680.0,38.5,100000,0,31.0,0.0,128.0,0.0,1.003427028656006,0.055000000000291,0
1647619740,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1348.0,0.1537223830000584,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.00390625,0.0,0.0,1647619780,0.0650000000000545,604630.73828125,0.0,0.0,1418.5,28.771484375,0,40.724609375,25.1171875,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.2100119590759277,0,0,0,0,0,0.0,14376960.0,1647144342,4866048,0.0,18247680.0,37.5,100000,0,31.0,0.0,128.0,0.0,1.4996414184570312,0.0599999999994906,0
1647619800,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,884.0,0.1017697654988296,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.00390625,0.0,0.0,1647619840,0.0399999999999636,604630.73828125,0.0,0.0,969.0,28.78125,0,40.734375,25.1171875,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.1373834609985351,0,0,0,0,0,0.0,14376960.0,1647144342,4866048,0.0,18247680.0,30.5,100000,0,31.0,0.0,128.0,0.0,1.1774258613586426,0.0349999999998544,0
