timestamp,container_network_receive_packets_dropped.eth0,container_spec_cpu_shares,container_spec_memory_swap_limit_MB,container_fs_writes_MB./dev/vda,container_network_transmit_packets_dropped.eth0,container_network_receive_errors.eth0,container_fs_writes_merged./dev/vda1,container_threads_max,container_fs_write_seconds./dev/vda1,container_fs_inodes_free./dev/vda1,container_fs_sector_reads./dev/vda1,container_network_transmit_packets.eth0,container_cpu_usage_seconds,container_cpu_cfs_throttled_periods,container_file_descriptors,container_cpu_cfs_throttled_seconds,container_fs_reads./dev/vda,container_fs_reads./dev/vda1,container_memory_failures.container.pgfault,container_memory_failures.container.pgmajfault,container_memory_failures.hierarchy.pgfault,container_memory_failures.hierarchy.pgmajfault,container_memory_max_usage_MB,container_fs_inodes./dev/vda1,container_fs_reads_MB./dev/vda,container_last_seen,container_cpu_user_seconds,container_fs_limit_MB./dev/vda1,container_fs_io_time_weighted_seconds./dev/vda1,container_fs_sector_writes./dev/vda1,container_network_receive_packets.eth0,container_memory_working_set_MB,container_fs_io_current./dev/vda1,container_memory_usage_MB,container_fs_usage_MB./dev/vda1,container_sockets,container_fs_io_time_seconds./dev/vda1,container_memory_failcnt,container_spec_cpu_quota,container_fs_writes./dev/vda,container_fs_writes./dev/vda1,container_ulimits_soft.max_open_files,container_network_receive_MB.eth0,container_tasks_state.iowaiting,container_tasks_state.running,container_tasks_state.sleeping,container_tasks_state.stopped,container_tasks_state.uninterruptible,container_fs_read_seconds./dev/vda1,container_memory_rss,container_start_time_seconds,container_memory_mapped_file,container_spec_memory_reservation_limit_MB,container_memory_cache,container_cpu_cfs_periods,container_spec_cpu_period,container_memory_swap,container_threads,container_network_transmit_errors.eth0,container_spec_memory_limit_MB,container_fs_reads_merged./dev/vda1,container_network_transmit_MB.eth0,container_cpu_system_seconds,container_cpu_load_average_10s
1647619260,0.0,102,450.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,257.5,0.0624256745002185,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.00390625,0.0,0.0,1647619300,0.0499999999999545,604630.73828125,0.0,0.0,399.0,60.28125,0,67.7109375,55.59765625,4.0,0.0,0,20000,0.0,0.0,1048576.0,0.0481753349304199,0,0,0,0,0,0.0,37613568.0,1647144342,135168,0.0,17420288.0,69.5,100000,0,28.0,0.0,450.0,0.0,1.1580476760864258,0.0099999999999909,0
1647619320,0.0,102,450.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,273.0,0.0589470104998781,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.00390625,0.0,0.0,1647619360,0.0499999999999545,604630.73828125,0.0,0.0,433.5,60.220703125,0,67.650390625,55.6015625,4.0,0.0,0,20000,0.0,0.0,1048576.0,0.0501127243041992,0,0,0,0,0,0.0,37613568.0,1647144342,135168,0.0,17285120.0,68.5,100000,0,28.0,0.0,450.0,0.0,1.1586732864379885,0.0199999999999818,0
1647619380,0.0,102,450.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,265.5,0.0723915925000255,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.00390625,0.0,0.0,1647619420,0.0499999999999545,604630.73828125,0.0,0.0,403.0,60.21484375,0,67.64453125,55.603515625,4.0,0.0,0,20000,0.0,0.0,1048576.0,0.0519113540649414,0,0,0,0,0,0.0,37613568.0,1647144342,135168,0.0,17285120.0,81.0,100000,0,28.0,0.0,450.0,0.0,1.1599068641662598,0.0149999999999863,0
1647619440,0.0,102,450.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,271.5,0.0544042909998552,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.00390625,0.0,0.0,1647619480,0.0300000000002,604630.73828125,0.0,0.0,434.0,60.21484375,0,67.64453125,55.60546875,4.0,0.0,0,20000,0.0,0.0,1048576.0,0.0513510704040527,0,0,0,0,0,0.0,37613568.0,1647144342,135168,0.0,17285120.0,73.0,100000,0,28.0,0.0,450.0,0.0,1.1603126525878906,0.0100000000000477,0
1647619500,0.0,102,450.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,263.5,0.0608714175000386,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.00390625,0.0,0.0,1647619540,0.0450000000000727,604630.73828125,0.0,0.0,409.0,60.21484375,0,67.64453125,55.609375,4.0,0.0,0,20000,0.0,0.0,1048576.0,0.0500335693359375,0,0,0,0,0,0.0,37613568.0,1647144342,135168,0.0,17285120.0,76.0,100000,0,28.0,0.0,450.0,0.0,1.158043384552002,0.0099999999999909,0
1647619560,0.0,102,450.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,210.0,0.0590710599999511,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.00390625,0.0,0.0,1647619600,0.0349999999998544,604630.73828125,0.0,0.0,353.5,60.21484375,0,67.64453125,55.61328125,4.0,0.0,0,20000,0.0,0.0,1048576.0,0.0380725860595703,0,0,0,0,0,0.0,37613568.0,1647144342,135168,0.0,17285120.0,74.5,100000,0,28.0,0.0,450.0,0.0,1.1463212966918943,0.0049999999999954,0
1647619620,0.0,102,450.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,267.5,0.0558780415001365,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.00390625,0.0,0.0,1647619660,0.0349999999998544,604630.73828125,0.0,0.0,416.0,60.21484375,0,67.64453125,55.615234375,4.0,0.0,0,20000,0.0,0.0,1048576.0,0.0491280555725097,0,0,0,0,0,0.0,37613568.0,1647144342,135168,0.0,17285120.0,69.5,100000,0,28.0,0.0,450.0,0.0,1.165116786956787,0.0099999999999909,0
1647619680,0.0,102,450.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,281.5,0.0675862499999766,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.00390625,0.0,0.0,1647619720,0.0399999999999636,604630.73828125,0.0,0.0,444.0,60.21484375,0,67.64453125,55.619140625,4.0,0.0,0,20000,0.0,0.0,1048576.0,0.0563549995422363,0,0,0,0,0,0.0,37613568.0,1647144342,135168,0.0,17285120.0,80.0,100000,0,28.0,0.0,450.0,0.0,1.1685714721679688,0.0099999999999909,0
1647619740,0.0,102,450.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,287.5,0.071353190499849,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.00390625,0.0,0.0,1647619780,0.0500000000001819,604630.73828125,0.0,0.0,456.5,60.21484375,0,67.64453125,55.62109375,4.0,0.0,0,20000,0.0,0.0,1048576.0,0.0575618743896484,0,0,0,0,0,0.0,37613568.0,1647144342,135168,0.0,17285120.0,89.0,100000,0,28.0,0.0,450.0,0.0,1.1658358573913574,0.0099999999999909,0
1647619800,0.0,102,450.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,237.5,0.0507452330000433,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.00390625,0.0,0.0,1647619840,0.0350000000000818,604630.73828125,0.0,0.0,372.0,60.21484375,0,67.64453125,55.62109375,4.0,0.0,0,20000,0.0,0.0,1048576.0,0.0429883003234863,0,0,0,0,0,0.0,37613568.0,1647144342,135168,0.0,17285120.0,70.0,100000,0,28.0,0.0,450.0,0.0,1.1491003036499023,0.0049999999999954,0
