timestamp,container_network_receive_packets_dropped.eth0,container_spec_cpu_shares,container_spec_memory_swap_limit_MB,container_fs_writes_MB./dev/vda,container_network_transmit_packets_dropped.eth0,container_network_receive_errors.eth0,container_fs_writes_merged./dev/vda1,container_threads_max,container_fs_write_seconds./dev/vda1,container_fs_inodes_free./dev/vda1,container_fs_sector_reads./dev/vda1,container_network_transmit_packets.eth0,container_cpu_usage_seconds,container_cpu_cfs_throttled_periods,container_file_descriptors,container_cpu_cfs_throttled_seconds,container_fs_reads./dev/vda,container_fs_reads./dev/vda1,container_memory_failures.container.pgfault,container_memory_failures.container.pgmajfault,container_memory_failures.hierarchy.pgfault,container_memory_failures.hierarchy.pgmajfault,container_memory_max_usage_MB,container_fs_inodes./dev/vda1,container_fs_reads_MB./dev/vda,container_last_seen,container_cpu_user_seconds,container_fs_limit_MB./dev/vda1,container_fs_io_time_weighted_seconds./dev/vda1,container_fs_sector_writes./dev/vda1,container_network_receive_packets.eth0,container_memory_working_set_MB,container_fs_io_current./dev/vda1,container_memory_usage_MB,container_fs_usage_MB./dev/vda1,container_sockets,container_fs_io_time_seconds./dev/vda1,container_memory_failcnt,container_spec_cpu_quota,container_fs_writes./dev/vda,container_fs_writes./dev/vda1,container_ulimits_soft.max_open_files,container_network_receive_MB.eth0,container_tasks_state.iowaiting,container_tasks_state.running,container_tasks_state.sleeping,container_tasks_state.stopped,container_tasks_state.uninterruptible,container_fs_read_seconds./dev/vda1,container_memory_rss,container_start_time_seconds,container_memory_mapped_file,container_spec_memory_reservation_limit_MB,container_memory_cache,container_cpu_cfs_periods,container_spec_cpu_period,container_memory_swap,container_threads,container_network_transmit_errors.eth0,container_spec_memory_limit_MB,container_fs_reads_merged./dev/vda1,container_network_transmit_MB.eth0,container_cpu_system_seconds,container_cpu_load_average_10s
1647619260,0.0,,,,0.0,0.0,,,,,,399.0,,,,,,,,,,,,,,,,,,,730.5,,,,,,,,,,,,0.0672073364257812,,,,,,,,,,,,,,,,0.0,,,0.1264839172363281,,
1647619320,0.0,,,,0.0,0.0,,,,,,295.0,,,,,,,,,,,,,,,,,,,537.0,,,,,,,,,,,,0.0483102798461914,,,,,,,,,,,,,,,,0.0,,,0.0817785263061523,,
1647619380,0.0,,,,0.0,0.0,,,,,,318.5,,,,,,,,,,,,,,,,,,,562.0,,,,,,,,,,,,0.0519628524780273,,,,,,,,,,,,,,,,0.0,,,0.1009278297424316,,
1647619440,0.0,,,,0.0,0.0,,,,,,313.0,,,,,,,,,,,,,,,,,,,583.0,,,,,,,,,,,,0.0520825386047363,,,,,,,,,,,,,,,,0.0,,,0.101208209991455,,
1647619500,0.0,,,,0.0,0.0,,,,,,341.0,,,,,,,,,,,,,,,,,,,620.5,,,,,,,,,,,,0.0573139190673828,,,,,,,,,,,,,,,,0.0,,,0.1036567687988281,,
1647619560,0.0,,,,0.0,0.0,,,,,,451.0,,,,,,,,,,,,,,,,,,,727.5,,,,,,,,,,,,0.630526065826416,,,,,,,,,,,,,,,,0.0,,,0.1391000747680664,,
1647619620,0.0,,,,0.0,0.0,,,,,,371.0,,,,,,,,,,,,,,,,,,,672.5,,,,,,,,,,,,0.0635461807250976,,,,,,,,,,,,,,,,0.0,,,0.13517427444458,,
1647619680,0.0,,,,0.0,0.0,,,,,,273.5,,,,,,,,,,,,,,,,,,,495.5,,,,,,,,,,,,0.044593334197998,,,,,,,,,,,,,,,,0.0,,,0.0795812606811523,,
1647619740,0.0,,,,0.0,0.0,,,,,,310.0,,,,,,,,,,,,,,,,,,,557.0,,,,,,,,,,,,0.0508546829223632,,,,,,,,,,,,,,,,0.0,,,0.0831737518310546,,
1647619800,0.0,,,,0.0,0.0,,,,,,376.0,,,,,,,,,,,,,,,,,,,681.0,,,,,,,,,,,,0.0621008872985839,,,,,,,,,,,,,,,,0.0,,,0.1416554450988769,,
1647619860,0.0,,,,0.0,0.0,,,,,,318.5,,,,,,,,,,,,,,,,,,,572.5,,,,,,,,,,,,0.0526137351989746,,,,,,,,,,,,,,,,0.0,,,0.1014375686645507,,
1647619920,0.0,,,,0.0,0.0,,,,,,315.5,,,,,,,,,,,,,,,,,,,571.0,,,,,,,,,,,,0.0521368980407714,,,,,,,,,,,,,,,,0.0,,,0.1012468338012695,,
1647619980,0.0,,,,0.0,0.0,,,,,,296.0,,,,,,,,,,,,,,,,,,,528.0,,,,,,,,,,,,0.0486531257629394,,,,,,,,,,,,,,,,0.0,,,0.0815701484680175,,
1647620040,0.0,,,,0.0,0.0,,,,,,376.0,,,,,,,,,,,,,,,,,,,684.0,,,,,,,,,,,,0.0622172355651855,,,,,,,,,,,,,,,,0.0,,,0.1246876716613769,,
1647620100,0.0,,,,0.0,0.0,,,,,,320.5,,,,,,,,,,,,,,,,,,,573.5,,,,,,,,,,,,0.0523319244384765,,,,,,,,,,,,,,,,0.0,,,0.1012077331542968,,
1647620160,0.0,,,,0.0,0.0,,,,,,340.5,,,,,,,,,,,,,,,,,,,622.5,,,,,,,,,,,,0.0573000907897949,,,,,,,,,,,,,,,,0.0,,,0.104321002960205,,
1647620220,0.0,,,,0.0,0.0,,,,,,284.0,,,,,,,,,,,,,,,,,,,505.5,,,,,,,,,,,,0.0458121299743652,,,,,,,,,,,,,,,,0.0,,,0.0800251960754394,,
1647620280,0.0,,,,0.0,0.0,,,,,,333.0,,,,,,,,,,,,,,,,,,,610.0,,,,,,,,,,,,0.0553870201110839,,,,,,,,,,,,,,,,0.0,,,0.1203622817993164,,
1647620340,0.0,,,,0.0,0.0,,,,,,327.0,,,,,,,,,,,,,,,,,,,590.5,,,,,,,,,,,,0.0538482666015625,,,,,,,,,,,,,,,,0.0,,,0.0846281051635742,,
1647620400,0.0,,,,0.0,0.0,,,,,,351.0,,,,,,,,,,,,,,,,,,,634.0,,,,,,,,,,,,0.059086799621582,,,,,,,,,,,,,,,,0.0,,,0.1226253509521484,,
1647620460,0.0,,,,0.0,0.0,,,,,,332.5,,,,,,,,,,,,,,,,,,,597.5,,,,,,,,,,,,0.054671287536621,,,,,,,,,,,,,,,,0.0,,,0.1023755073547363,,
1647620520,0.0,,,,0.0,0.0,,,,,,335.0,,,,,,,,,,,,,,,,,,,615.5,,,,,,,,,,,,0.0555663108825683,,,,,,,,,,,,,,,,0.0,,,0.1034407615661621,,
1647620580,0.0,,,,0.0,0.0,,,,,,266.5,,,,,,,,,,,,,,,,,,,483.5,,,,,,,,,,,,0.0436410903930664,,,,,,,,,,,,,,,,0.0,,,0.0782060623168945,,
1647620640,0.0,,,,0.0,0.0,,,,,,374.0,,,,,,,,,,,,,,,,,,,684.5,,,,,,,,,,,,0.0630102157592773,,,,,,,,,,,,,,,,0.0,,,0.1252212524414062,,
