timestamp,container_network_receive_packets_dropped.eth0,container_spec_cpu_shares,container_spec_memory_swap_limit_MB,container_fs_writes_MB./dev/vda,container_network_transmit_packets_dropped.eth0,container_network_receive_errors.eth0,container_fs_writes_merged./dev/vda1,container_threads_max,container_fs_write_seconds./dev/vda1,container_fs_inodes_free./dev/vda1,container_fs_sector_reads./dev/vda1,container_network_transmit_packets.eth0,container_cpu_usage_seconds,container_cpu_cfs_throttled_periods,container_file_descriptors,container_cpu_cfs_throttled_seconds,container_fs_reads./dev/vda,container_fs_reads./dev/vda1,container_memory_failures.container.pgfault,container_memory_failures.container.pgmajfault,container_memory_failures.hierarchy.pgfault,container_memory_failures.hierarchy.pgmajfault,container_memory_max_usage_MB,container_fs_inodes./dev/vda1,container_fs_reads_MB./dev/vda,container_last_seen,container_cpu_user_seconds,container_fs_limit_MB./dev/vda1,container_fs_io_time_weighted_seconds./dev/vda1,container_fs_sector_writes./dev/vda1,container_network_receive_packets.eth0,container_memory_working_set_MB,container_fs_io_current./dev/vda1,container_memory_usage_MB,container_fs_usage_MB./dev/vda1,container_sockets,container_fs_io_time_seconds./dev/vda1,container_memory_failcnt,container_spec_cpu_quota,container_fs_writes./dev/vda,container_fs_writes./dev/vda1,container_ulimits_soft.max_open_files,container_network_receive_MB.eth0,container_tasks_state.iowaiting,container_tasks_state.running,container_tasks_state.sleeping,container_tasks_state.stopped,container_tasks_state.uninterruptible,container_fs_read_seconds./dev/vda1,container_memory_rss,container_start_time_seconds,container_memory_mapped_file,container_spec_memory_reservation_limit_MB,container_memory_cache,container_cpu_cfs_periods,container_spec_cpu_period,container_memory_swap,container_threads,container_network_transmit_errors.eth0,container_spec_memory_limit_MB,container_fs_reads_merged./dev/vda1,container_network_transmit_MB.eth0,container_cpu_system_seconds,container_cpu_load_average_10s
1647619260,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,197.5,0.0016177980000122,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.7265625,0.0,0.0,1647619300,0.0,604630.73828125,0.0,0.0,328.5,24.03515625,0,33.2109375,38.5,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.0261707305908203,0,0,0,0,0,0.0,11311104.0,1647144382,0,0.0,13809664.0,1.0,100000,0,23.0,0.0,128.0,0.0,0.4272346496582031,0.0,0
1647619320,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,163.5,0.0125466709999955,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.7265625,0.0,0.0,1647619360,0.0,604630.73828125,0.0,0.0,266.5,23.9609375,0,33.0703125,38.5,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.022191047668457,0,0,0,0,0,0.0,11243520.0,1647144382,0,0.0,13742080.0,7.0,100000,0,23.0,0.0,128.0,0.0,0.4333953857421875,0.0099999999999909,0
1647619380,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,179.0,0.0041452915000093,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.7265625,0.0,0.0,1647619420,0.0,604630.73828125,0.0,0.0,282.0,23.9140625,0,33.0234375,38.5,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.0237088203430175,0,0,0,0,0,0.0,11243520.0,1647144382,0,0.0,13742080.0,7.0,100000,0,23.0,0.0,128.0,0.0,0.4284009933471679,0.0,0
1647619440,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,205.0,0.0037955955000086,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.7265625,0.0,0.0,1647619480,0.0,604630.73828125,0.0,0.0,340.0,23.921875,0,33.03125,38.501953125,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.0292882919311523,0,0,0,0,0,0.0,11243520.0,1647144382,0,0.0,13742080.0,5.0,100000,0,23.0,0.0,128.0,0.0,0.4377555847167969,0.0,0
1647619500,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,196.5,0.011442613999975,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.7265625,0.0,0.0,1647619540,0.0150000000000005,604630.73828125,0.0,0.0,317.5,23.921875,0,33.03125,38.50390625,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.0256133079528808,0,0,0,0,0,0.0,11243520.0,1647144382,0,0.0,13742080.0,8.0,100000,0,23.0,0.0,128.0,0.0,0.4284067153930664,0.0100000000000051,0
1647619560,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,191.0,0.0047160619999999,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.7265625,0.0,0.0,1647619600,0.0049999999999954,604630.73828125,0.0,0.0,312.5,23.921875,0,33.03125,38.505859375,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.0271015167236328,0,0,0,0,0,0.0,11243520.0,1647144382,0,0.0,13742080.0,9.0,100000,0,23.0,0.0,128.0,0.0,0.4372963905334472,0.0,0
1647619620,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,190.0,0.0081531534999896,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.7265625,0.0,0.0,1647619660,0.0,604630.73828125,0.0,0.0,312.5,23.923828125,0,33.033203125,38.5078125,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.0278468132019042,0,0,0,0,0,0.0,11243520.0,1647144382,0,0.0,13742080.0,5.0,100000,0,23.0,0.0,128.0,0.0,0.4385552406311035,0.0,0
1647619680,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,186.5,0.0070504435000202,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.7265625,0.0,0.0,1647619720,0.0100000000000051,604630.73828125,0.0,0.0,310.0,23.92578125,0,33.03515625,38.5078125,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.0260734558105468,0,0,0,0,0,0.0,11243520.0,1647144382,0,0.0,13742080.0,11.0,100000,0,23.0,0.0,128.0,0.0,0.4359736442565918,0.0,0
1647619740,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,176.0,0.0082868755000049,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.7265625,0.0,0.0,1647619780,0.0,604630.73828125,0.0,0.0,287.5,23.9296875,0,33.0390625,38.5078125,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.0234084129333496,0,0,0,0,0,0.0,11243520.0,1647144382,0,0.0,13742080.0,10.0,100000,0,23.0,0.0,128.0,0.0,0.4290695190429687,0.0100000000000051,0
1647619800,0.0,102,128.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,185.5,0.003106006500019,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.7265625,0.0,0.0,1647619840,0.0,604630.73828125,0.0,0.0,308.5,23.9296875,0,33.0390625,38.509765625,3.0,0.0,0,20000,0.0,0.0,1048576.0,0.0253577232360839,0,0,0,0,0,0.0,11243520.0,1647144382,0,0.0,13742080.0,6.0,100000,0,23.0,0.0,128.0,0.0,0.4334077835083008,0.0,0
